date,77491_32247,77495_32247,77500_32247,77500_32252,77504_32234,77504_32238,77504_32243,77504_32247,77504_32252,77509_32238,77509_32243,77509_32247,77509_32252,77513_32243,77513_32247,77513_32252,77513_32256,77513_32261,77518_32252,77518_32256,77518_32261,77518_32265,77522_32234,77522_32238,77522_32256,77522_32261,77522_32265,77522_32270,77527_32234,77527_32238,77527_32243,77527_32247,77527_32265,77527_32270,77527_32274,77527_32279,77527_32283,77531_32234,77531_32238,77531_32243,77531_32247,77531_32252,77531_32256,77531_32261,77531_32265,77531_32270,77531_32274,77531_32279,77531_32283,77531_32288,77536_32234,77536_32247,77536_32252,77536_32256,77536_32261,77536_32265,77536_32270,77536_32274,77536_32279,77536_32283,77536_32288,77540_32229,77540_32234,77540_32270,77540_32274,77540_32279,77540_32283,77540_32288,77545_32274,.geo
2021_04_24,64,64,64,66,64,66,64,65,66,66,64,66,66,66,66,66,67,66,67,67,66,67,65,65,67,68,67,67,-11000,65,67,67,68,67,67,66,67,-11000,61,61,67,68,68,68,68,68,67,67,67,65,-11000,66,68,68,67,67,68,68,67,67,66,-11000,-11000,68,68,69,65,66,68,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_04_25,78,79,79,78,81,79,79,80,80,80,79,78,80,79,78,80,80,80,80,80,81,83,70,78,80,81,84,80,61,58,78,78,82,84,85,80,82,66,75,74,78,73,78,80,82,84,86,84,82,83,66,78,73,75,75,82,77,86,84,82,82,67,69,77,81,84,81,81,75,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_04_26,74,77,77,77,77,76,76,77,77,76,76,77,77,77,77,77,78,81,77,78,79,83,67,76,77,79,83,83,67,67,77,66,80,83,83,80,81,61,66,66,66,71,79,78,80,80,79,80,81,79,61,71,71,70,78,80,76,79,81,81,78,61,61,76,76,79,75,78,76,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_04_27,79,82,82,81,85,86,82,82,85,86,82,82,85,85,86,86,84,84,86,84,86,85,62,84,84,86,86,87,62,64,85,83,87,87,87,82,87,74,64,78,83,84,84,87,87,87,78,82,87,86,74,80,84,76,87,87,84,86,88,87,86,61,74,84,86,81,82,86,79,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_04_28,78,78,78,80,81,81,79,78,81,81,83,81,81,83,82,81,82,84,81,82,84,84,75,81,83,86,87,86,66,65,70,81,87,87,88,86,89,62,61,73,81,71,75,86,87,88,88,89,86,88,62,73,71,75,75,81,75,88,86,86,87,64,70,75,79,81,87,87,79,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_04_29,78,80,80,77,83,85,83,81,83,85,82,82,83,82,82,83,84,84,84,84,84,85,76,84,84,84,85,87,76,80,83,80,86,84,84,88,88,76,76,76,80,81,83,83,86,84,84,88,88,84,76,81,81,83,83,86,79,84,88,88,84,70,79,79,79,88,88,88,79,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_04_30,74,76,76,78,79,78,79,80,78,81,82,80,78,82,80,81,80,82,85,80,86,83,67,81,83,86,87,83,60,53,85,73,89,88,88,91,93,61,53,66,73,69,87,90,89,90,91,89,93,90,61,68,69,69,74,89,77,91,91,93,91,50,69,77,80,86,91,91,69,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_01,80,80,80,83,84,84,81,80,83,82,81,81,83,81,80,83,83,84,83,83,84,84,76,82,83,80,78,82,76,77,80,75,78,82,82,79,85,77,77,75,75,77,77,80,78,82,82,85,85,66,77,75,77,77,78,78,82,82,85,85,66,74,77,82,74,85,85,75,74,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_02,-11000,-11000,-11000,-11000,86,89,88,-11000,90,91,87,88,90,91,88,90,89,87,92,89,87,87,68,89,85,88,87,86,52,35,92,85,91,86,88,91,92,-11000,35,48,85,77,87,91,91,87,81,89,92,84,-11000,79,77,71,87,89,73,90,89,92,88,-11000,-11000,73,81,78,91,92,74,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_03,82,82,82,84,87,85,85,85,86,86,86,85,86,86,86,86,80,88,86,80,88,88,80,80,80,74,82,87,64,64,80,81,82,87,86,85,84,60,60,70,81,81,74,74,82,77,86,84,84,81,60,70,81,74,82,77,77,77,84,84,81,76,60,77,71,78,81,81,71,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_04,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_05,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_06,77,77,77,78,80,82,78,78,78,82,77,82,78,77,82,82,-11000,-11000,-11000,-11000,-11000,73,63,80,-11000,-11000,73,73,63,-11000,80,-11000,70,70,61,-11000,75,63,-11000,-11000,-11000,-11000,-11000,-11000,70,70,61,74,75,57,63,-11000,-11000,-11000,-11000,70,70,59,81,75,48,65,70,70,59,77,81,78,73,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_07,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_08,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,52,-11000,-11000,-11000,-11000,-11000,-11000,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_09,76,76,76,77,83,83,82,82,82,89,82,79,82,82,87,82,84,79,87,84,79,72,68,84,79,79,74,84,-11000,62,85,75,82,73,71,80,-11000,-11000,-11000,-11000,75,59,68,87,82,78,78,80,80,-11000,-11000,56,59,68,71,75,74,83,85,80,35,43,-11000,74,83,72,72,29,61,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
